Match ID,City,Stadium,Team A,Team B,Wickets A,Overs Played A,Maiden Overs A,4s A,6s A,Boundaries A,Runrate A,Leg Byes A,Byes A,Wides A,No Balls A,Penalty A,Extras A,Score B,Wickets B,Overs Played B,Maiden Overs B,4s B,6s B,Boundaries B,Runrate B,Leg Byes B,Byes B,Wides B,No Balls B,Penalty B,Extras B,Wining Team,Margin,Man of the Match,Umpire 1,Umpire 2,TV Umpire,Match Refree
1,Ahmedabad,Narendra Modi Stadium,England,NewZealand,9,50,2,21,6,27,5.64,1,4,3,0,0,8,283,1,36.2,2,30,8,38,7.78,0,0,6,0,0,6,NewZealand,9 Wickets,Rachin Ravindra,Kumar Dharmasena,Nitin Menon,Paul Wilson,Javagal Srinath
2,Hyderabad,Eden Gardens,Pakistan,Netherlands,10,49,1,33,3,36,5.83,0,0,9,0,0,9,205,10,41,1,20,4,24,5,0,0,8,1,0,9,Pakistan,81 Runs,Saud Shakeel,Adrian Holdstock,Chris Brown,Rod Tucker,Jeff Crowe
3,Dharamshala,HPCA Stadium,Afghanistan,Bangladesh,10,37.2,1,15,2,17,4.17,3,0,4,1,0,8,158,4,34.4,5,13,1,14,4.55,0,0,8,0,0,8,Bangladesh,6 Wickets,Mehidy Hasan Miraz,Joel Wilson,Kumar Dharmasena,Ahsan Raza,Andy Pycroft
4,Delhi,Arun Jaitley Stadium,South Africa,Sri Lanka,5,50,1,45,14,59,8.56,5,0,14,1,0,20,326,10,44.5,1,31,17,48,7.27,1,0,21,1,0,23,South Africa,102 Runs,Aiden Markram,Richard Illingworth,Sharfuddoula,Michael Gough,Javagal Srinath
5,Chennai,M. A. Chidambaram Stadium,Australia,India,10,49.3,1,16,2,18,4.02,1,1,5,1,0,8,201,4,41.2,4,14,3,17,4.86,6,0,6,0,0,12,India,6 wickets,KL Rahul,Chris Gaffaney,Richard Kettleborough,Chris Brown,Richie Richardson
6,Hyderabad,Rajiv Gandhi International Stadium,NewZealand,Netherlands,7,50,0,30,10,40,6.44,1,0,2,1,0,4,223,10,46.3,3,19,3,22,4.79,3,0,8,2,0,13,NewZealand,99 Runs,Mitchell Santner,Paul Reiffel,Rod Tucker,Joel Wilson,Andy Pycroft
7,Dharamshala,HPCA Stadium,England,Bangladesh,9,50,1,41,7,48,7.28,4,0,3,0,0,7,227,10,48.2,0,17,3,20,4.69,2,1,4,0,0,7,England,137 Runs,Dawid Malan,Ahsan Raza,Paul Wilson,Adrian Holdstock,Javagal Srinath
8,Hyderabad,Rajiv Gandhi International Stadium,Sri Lanka,Pakistan,9,50,0,36,9,45,6.88,0,0,25,1,0,26,345,4,48.2,0,26,6,32,7.13,2,2,9,1,0,14,Pakistan,6 Wickets,Mohammad Rizwan,Chris Gaffaney,Alex Wharf,Nitin Menon,Andy Pycroft
9,Delhi,Arun Jaitley Stadium,Afghanistan,India,8,50,0,25,7,32,5.44,4,1,10,0,0,15,273,2,35,0,28,8,36,7.8,3,2,8,2,0,15,India,8 Wickets,Rohit Sharma,Michael Gough,Paul Reiffel,Marais Erasmus,Jeff Crowe
10,Lucknow,BRSABV Ekana Cricket Stadium,South Africa,Australia,7,50,3,26,8,34,6.22,4,0,11,2,0,17,177,10,40.5,2,19,0,19,4.33,2,4,7,0,0,13,South Africa,134 Runs,Quinton de Kock,Joel Wilson,Richard Illingworth,Richard Kettleborough,Javagal Srinath
11,Chennai,M. A. Chidambaram Stadium,Bangladesh,NewZealand,9,50,1,20,8,28,4.9,1,0,10,0,0,11,248,2,42.5,1,20,6,26,5.78,1,0,4,4,0,9,NewZealand,8 Wickets,Lockie Ferguson,Kumar Dharmasena,Nitin Menon,Michael Gough,Richie Richardson
12,Ahmedabad,Narendra Modi Stadium,Pakistan,India,10,42.5,0,26,0,26,4.45,5,0,1,0,0,6,192,3,30.3,1,17,8,25,6.29,2,1,1,0,0,4,India,7 Wickets,Jasprit Bumrah,Richard Illingworth,Marais Erasmus,Richard Kettleborough,Andy Pycroft
13,Delhi,Arun Jaitley Stadium,Afghanistan,England,10,49.5,3,23,8,31,5.69,4,0,8,1,0,13,215,10,40.3,2,24,1,25,5.3,1,0,11,3,0,15,Afghanistan, 69 Runs,Mujeeb Ur Rahman,Sharfuddoula,Rod Tucker,Paul Reiffel,Jeff Crowe
14,Lucknow,BRSABV Ekana Cricket Stadium,Sri Lanka,Australia,10,43.3,2,23,1,24,4.8,0,0,3,0,0,3,215,5,35.2,2,22,5,27,6.08,2,2,9,0,0,13,Australia,5 Wickets,Adam Zampa,Alex Wharf,Chris Gaffaney,Chris Brown,Richie Richardson
15,Dharamshala,HPCA Stadium,Netherlands,South Africa,8,43,1,23,6,29,5.69,2,0,5,1,0,8,207,10,42.5,3,19,5,24,4.83,10,0,21,1,0,32,Netherlands,38 Runs,Scott Edwards,Richard Kettleborough,Michael Gough,Sharfuddoula,Jeff Crowe
16,Chennai,M. A. Chidambaram Stadium,NewZealand,Afghanistan,6,50,4,19,11,30,5.76,0,0,5,0,0,5,139,10,34.4,2,11,2,13,4,4,0,5,1,0,10,NewZealand,149 Runs,Glenn Phillips,Paul Wilson,Joel Wilson,Alex Wharf,Javagal Srinath
17,Pune,Maharashtra Cricket Association Stadium,Bangladesh,India,8,50,0,18,8,26,5.12,0,0,2,2,0,4,261,3,41.3,1,23,9,32,6.28,1,0,5,0,0,6,India,7 Wickets,Virat Kohli,Adrian Holdstock,Richard Kettleborough,Kumar Dharmasena,Andy Pycroft
18,Bangalore,M. Chinnaswamy Stadium,Australia,Pakistan,9,50,1,29,19,48,7.34,7,1,11,0,0,19,305,10,45.3,1,34,6,40,6.7,10,1,14,0,0,25,Australia,62 Runs,David Warner,Richard Illingworth,Chris Brown,Alex Wharf,Richie Richardson
19,Lucknow,BRSABV Ekana Cricket Stadium,Netherlands,Sri Lanka,10,49.4,1,14,3,17,5.27,0,13,11,0,0,24,263,5,48.2,2,23,3,26,5.44,1,0,26,1,5,33,Sri Lanka,5 Wickets,Sadeera Samarawickrama,Ahsan Raza,Marais Erasmus,Rod Tucker,Jeff Crowe
20,Mumbai,Wankhede Stadium,South Africa,England,7,50,2,38,13,51,7.98,9,0,5,1,0,15,170,10,22,1,18,9,27,7.72,3,2,9,1,0,15,South Africa,229 Runs,Heinrich Klaasen,Nitin Menon,Kumar Dharmasena,Paul Reiffel,Javagal Srinath
